Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
57643-117273,SF,Mychal,Mychal Mulder,Mulder,6.046808770362367,47,3500,DEN@GS,GS,DEN,,,,,,SF
57643-117285,SF,Vlatko,Vlatko Cancar,Cancar,3.9612904210244455,31,3500,DEN@GS,DEN,GS,,,,,,SF
57643-12340,PF,Patrick,Patrick Patterson,Patterson,9.581250190734863,32,3500,LAC@HOU,LAC,HOU,,,,,,PF
57643-117307,SF,DaQuan,DaQuan Jeffries,Jeffries,7.25,22,3500,LAC@HOU,HOU,LAC,,,,,,SF
57643-117821,PG,Keljin,Keljin Blevins,Blevins,1.5399999618530273,10,3500,MEM@POR,POR,MEM,GTD,Covid-19,,,,PG
57643-66108,PG,Jamal,Jamal Murray,Murray,35.83958435058594,48,3500,DEN@GS,DEN,GS,O,Knee,,,,PG
57643-112708,SF,Max,Max Strus,Strus,7.8612902241368445,31,3500,MIA@ATL,MIA,ATL,,,,,,SF
57643-112710,C,Tacko,Tacko Fall,Fall,8.239999898274739,15,3500,BOS@BKN,BOS,BKN,,,,,,C
57643-145485,PG,LaMelo,LaMelo Ball,Ball,35.08536585365854,41,3500,CLE@CHA,CHA,CLE,O,Wrist,,,,PG
57643-12368,PF,Nemanja,Nemanja Bjelica,Bjelica,13.123529770795036,34,3500,MIA@ATL,MIA,ATL,,,,,,PF
57643-145491,PF,Nathan,Nathan Knight,Knight,7.346153846153846,26,3500,MIA@ATL,ATL,MIA,,,,,,PF
57643-20064,PG,Matthew,Matthew Dellavedova,Dellavedova,12.563636086203836,11,3500,CLE@CHA,CLE,CHA,,,,,,PG
57643-17517,SF,Tony,Tony Snell,Snell,11.18249969482422,40,3500,MIA@ATL,ATL,MIA,GTD,Ankle,,,,SF
57643-23676,PG,Damyean,Damyean Dotson,Dotson,12.82857142857143,35,3500,CLE@CHA,CLE,CHA,GTD,Knee,,,,PG
57643-145532,SG,Jay,Jay Scrubb,Scrubb,,,3500,LAC@HOU,LAC,HOU,O,Foot,,,,SG
57643-145548,PF,Anthony,Anthony Gill,Gill,4.022222306993273,18,3500,WAS@OKC,WAS,OKC,,,,,,PF
57643-63126,SF,Cedi,Cedi Osman,Osman,19.483673718510843,49,3500,CLE@CHA,CLE,CHA,,,,,,SF
57643-58519,SG,Gary,Gary Payton II,Payton II,5.342857360839844,7,3500,DEN@GS,GS,DEN,,,,,,SG
57643-42148,PF,Rondae,Rondae Hollis-Jefferson,Hollis-Jefferson,11.975000381469727,4,3500,MEM@POR,POR,MEM,,,,,,PF
57643-18600,PG,Tyler,Tyler Johnson,Johnson,9.783870573966734,31,3500,BOS@BKN,BKN,BOS,GTD,Knee,,,,PG
57643-70825,SF,Timothe,Timothe Luwawu-Cabarrot,Luwawu-Cabarrot,12.723076453575722,52,3500,BOS@BKN,BKN,BOS,,,,,,SF
57643-14505,C,Bismack,Bismack Biyombo,Biyombo,16.670588474647673,51,3500,CLE@CHA,CHA,CLE,,,,,,C
57643-14509,SG,Klay,Klay Thompson,Thompson,,,3500,DEN@GS,GS,DEN,O,Achilles,,,,SG
57643-145588,SF,Anthony,Anthony Lamb,Lamb,6.207692072941707,13,3500,LAC@HOU,HOU,LAC,,,,,,SF
57643-12474,PG,Patrick,Patrick Beverley,Beverley,19.44193587764617,31,3500,LAC@HOU,LAC,HOU,O,Hand,,,,PG
57643-16071,PG,Tim,Tim Frazier,Frazier,6.433333079020183,3,3500,MEM@POR,MEM,POR,,,,,,PG
57643-84707,SF,Chandler,Chandler Hutchison,Hutchison,8.546153728778545,13,3500,WAS@OKC,WAS,OKC,,,,,,SF
57643-145632,PF,Killian,Killian Tillie,Tillie,7.338461655836839,13,3500,MEM@POR,MEM,POR,,,,,,PF
57643-58084,SF,Justise,Justise Winslow,Winslow,16.5,18,3500,MEM@POR,MEM,POR,,,,,,SF
57643-110309,SF,KZ,KZ Okpala,Okpala,6.75,30,3500,MIA@ATL,MIA,ATL,,,,,,SF
